"ATC","Liečivo","Cesta podania"
"A01AA01","Fluorid sodný","p.o."
"A02BC01","Omeprazol","p.o."
"A02BC02","Pantoprazol","p.o."
"A02BC03","Lanzoprazol","p.o."
"A02BC05","Ezomeprazol","p.o."
"A02BX02","Sukralfát","p.o."
"A03AA04","Mebeverín","p.o."
"A03AD02","Drotaverín","p.o."
"A03AX04","Pinavérium","p.o."
"A03BB01","Butylskopolamín","p.o."
"A03FA01","Metoklopramid","p.o."
"A03FA03","Domperidón","p.o."
"A03FA07","Itoprid hydrochlorid","p.o."
"A04AA01","Ondasetrón","p.o."
"A04AA02","Granisetrón","p.o."
"A04AD12","Aprepitant","p.o."
"A05AA02","Kyselina ursodeoxycholínová","p.o."
"A05BA03","Silymarín","p.o."
"A06AD11","Laktulóza","p.o."
"A07AA11","Rifaximín","p.o."
"A07EA06","Budezonid","p.o."
"A07EC01","Sulfasalazín","p.o."
"A07EC02","Mesalazín","p.o."
"A10BA02","Metformín","p.o."
"A10BB01","Glibenklamid","p.o."
"A10BB07","Glipizid","p.o."
"A10BB08","Gliquidon","p.o."
"A10BB09","Gliklazid","p.o."
"A10BB12","Glimepirid","p.o."
"A10BF01","Akarbóza","p.o."
"A10BG02","Roziglitazón","p.o."
"A10BG03","Pioglitazón","p.o."
"A10BH01","Sitagliptín","p.o."
"A10BH02","Vildagliptín","p.o."
"A10BH03","Saxagliptín","p.o."
"A10BX02","Repaglinid","p.o."
"A11CA01","Retinol","p.o."
"A11CC01","Ergokalciferol","p.o."
"A11CC03","Alfakalcidol","p.o."
"A11CC04","Kalcitriol","p.o."
"A11CC05","Cholekalciferol","p.o."
"A12AA","Vápnik","p.o."
"A12AA04","Uhličitan vápenatý","p.o."
"A12BA","Draslík, horčík","p.o."
"A12BA01","Chlorid draselný","p.o."
"A12CC06","Mliečnan horečnatý","p.o."
"A16AX01","Kyselina tioktová","p.o."
"B01AC04","Klopidogrel","p.o."
"B01AC05","Ticlopidín","p.o."
"B01AC06","Kyselina acetylsalicylová","p.o."
"B01AC10","Indobufén","p.o."
"B01AE07","Dabigatranetexilát","p.o."
"B01AX06","Rivaroxaban","p.o."
"B02AA03","Kyselina aminometylbenzoová","p.o."
"B02BA01","Fytomenadión","p.o."
"B02BX01","Etamsylát","p.o."
"B03BB01","Kyselina listová","p.o."
"C01DA08","Izosorbid dinitrát","p.o."
"C01DA14","Izosorbid mononitrát","p.o."
"C01DX12","Molsidomín","p.o."
"C01EB15","Trimetazidín","p.o."
"C01EB17","Ivabradín","p.o."
"C02AB01","L-metyldopa","p.o."
"C02AC05","Moxonidín","p.o."
"C02AC06","Rilmenidín","p.o."
"C02CA04","Doxazosín","p.o."
"C02CA06","Urapidil","p.o."
"C03AA03","Hydrochlórotiazid","p.o."
"C03BA","Sulfonamidy, samotné (metipamid)","p.o."
"C03BA11","Indapamid","p.o."
"C03CA01","Furosemid","p.o."
"C03DA01","Spironolaktón","p.o."
"C03DA04","Eplerenón","p.o."
"C04AD03","Pentoxifylín","p.o."
"C04AX21","Naftidrofuryl","p.o."
"C05BX01","Dobesilát vápenatý","p.o."
"C05CA54","Troxerutín","p.o."
"C05CX01","Tribenozid","p.o."
"C07AA","Betablokátory, jednozložkové, 
neselektívne (metipranolol)","p.o."
"C07AA07","Sotalol","p.o."
"C07AA17","Bopindolol","p.o."
"C07AB02","Metoprolol","p.o."
"C07AB03","Atenolol","p.o."
"C07AB05","Betaxolol","p.o."
"C07AB07","Bisoprolol","p.o."
"C07AB08","Celiprolol","p.o."
"C07AB12","Nebivolol","p.o."
"C07AG02","Carvedilol","p.o."
"C08CA01","Amlodipín","p.o."
"C08CA02","Felodipín","p.o."
"C08CA03","Isradipín","p.o."
"C08CA05","Nifedipín","p.o."
"C08CA06","Nimodipín","p.o."
"C08CA08","Nitrendipín","p.o."
"C08CA09","Lacidipín","p.o."
"C08CA13","Lerkanidipín","p.o."
"C08DA01","Verapamil","p.o."
"C08DB01","Diltiazem","p.o."
"C09AA01","Kaptopril","p.o."
"C09AA02","Enalapril","p.o."
"C09AA03","Lizinopril","p.o."
"C09AA04","Perindopril (arginín)","p.o."
"C09AA04","Perindopril (terc-butylamín)","p.o."
"C09AA05","Ramipril","p.o."
"C09AA06","Quinapril","p.o."
"C09AA09","Fosinopril","p.o."
"C09AA10","Trandolapril","p.o."
"C09AA11","Spirapril","p.o."
"C09AA13","Moexipril","p.o."
"C09AA16","Imidapril","p.o."
"C09CA01","Losartan","p.o."
"C09CA02","Eprosartan","p.o."
"C09CA03","Valsartan","p.o."
"C09CA04","Irbesartan","p.o."
"C09CA06","Candesartan","p.o."
"C09CA07","Telmisartan","p.o."
"C09XA02","Aliskiren","p.o."
"C10AA01","Simvastatín","p.o."
"C10AA02","Lovastatín","p.o."
"C10AA04","Fluvastatín","p.o."
"C10AA05","Atorvastatín","p.o."
"C10AA07","Rosuvastatín","p.o."
"C10AB05","Fenofibrát","p.o."
"C10AB08","Ciprofibrát","p.o."
"C10AC01","Cholestyramín","p.o."
"C10AX06","Estery omega-3-kyselín","p.o."
"C10AX09","Ezetimib","p.o."
"D01BA02","Terbinafín","p.o."
"G01AX05","Nifuratel","p.o."
"G02CB01","Bromkriptín","p.o."
"G02CB03","Kabergolín","p.o."
"G02CB04","Quinagolid","p.o."
"G03BA03","Testosterón","p.o."
"G03BB01","Mesterolón","p.o."
"G03CA03","Estradiol","p.o."
"G03CA04","Estriol","p.o."
"G03CX01","Tibolón","p.o."
"G03DA02","Medroxyprogesterón","p.o."
"G03DA04","Progesterón","p.o."
"G03DB04","Nomegestrol acetát","p.o."
"G03DC02","Noretisterón","p.o."
"G03GB02","Klomifén","p.o."
"G03HA01","Cyproterón","p.o."
"G03XA01","Danazol","p.o."
"G03XC01","Raloxifén hydrochlorid","p.o."
"G04BD04","Oxybutynín","p.o."
"G04BD06","Propiverín","p.o."
"G04BD07","Tolterodín","p.o."
"G04BD08","Solifenacín","p.o."
"G04BD09","Trospium chlorid","p.o."
"G04BD10","Darifenacín","p.o."
"G04BD11","Fesoterodín","p.o."
"G04CA02","Tamsulosín","p.o."
"G04CA03","Terazosín","p.o."
"G04CB01","Finasterid","p.o."
"G04CB02","Dutasterid","p.o."
"H01BA02","Dezmopresín","p.o."
"H02AA02","Fludrokortizón","p.o."
"H02AB02","Dexametazón","p.o."
"H02AB04","Metylprednizolón","p.o."
"H02AB07","Prednizón","p.o."
"H02AB08","Triamcinolón","p.o."
"H03BA02","Propyltiouracil","p.o."
"H03BB01","Karbimazol","p.o."
"H05BX01","Cinakalcet","p.o."
"H05BX02","Parikalcitol","p.o."
"J01AA02","Doxycyklín","p.o."
"J01CA04","Amoxicilín","p.o."
"J01CE02","Fenoxymetylpenicilín","p.o."
"J01CE06","Penamecilín","p.o."
"J01CR04","Sultamicilín","p.o."
"J01DB01","Cefalexín","p.o."
"J01DB05","Cefadroxil","p.o."
"J01DC02","Cefuroxim","p.o."
"J01DC04","Cefaklor","p.o."
"J01DC10","Cefprozil","p.o."
"J01DD08","Cefixime","p.o."
"J01DD14","Ceftibutén","p.o."
"J01EA01","Trimetoprim","p.o."
"J01FA02","Spiramycín","p.o."
"J01FA06","Roxitromycín","p.o."
"J01FA09","Klaritromycín","p.o."
"J01FA10","Azitromycín","p.o."
"J01FF01","Klindamycín","p.o."
"J01MA01","Ofloxacín","p.o."
"J01MA02","Ciprofloxacín","p.o."
"J01MA03","Pefloxacín","p.o."
"J01MA06","Norfloxacín","p.o."
"J01MA12","Levofloxacín","p.o."
"J01MA14","Moxifloxacín","p.o."
"J01MA17","Prulifloxacín","p.o."
"J01XX01","Fosfomycín","p.o."
"J01XX08","Linezolid","p.o."
"J02AB02","Ketokonazol","p.o."
"J02AC01","Flukonazol","p.o."
"J02AC02","Itrakonazol","p.o."
"J02AC03","Vorikonazol","p.o."
"J02AC04","Posakonazol","p.o."
"J04AB02","Rifampicín","p.o."
"J04AC01","Izoniazid","p.o."
"J04AK02","Etambutol","p.o."
"J04BA02","Dapson","p.o."
"J05AB15","Brivudin","p.o."
"J05AB01","Acyklovir","p.o."
"J05AB09","Famciklovir","p.o."
"J05AB11","Valacyklovir","p.o."
"J05AE08","Atazanavir","p.o."
"J05AE01","Sachinavir","p.o."
"J05AE02","Indinavir","p.o."
"J05AE03","Ritonavir","p.o."
"J05AE06","Lopinavir","p.o."
"J05AE07","Fosamprenavir","p.o."
"J05AE09","Tipranavir","p.o."
"J05AE10","Darunavir","p.o."
"J05AF02","Didanozín","p.o."
"J05AF04","Stavudin","p.o."
"J05AF05","Lamivudin","p.o."
"J05AF06","Abakavir","p.o."
"J05AF07","Tenofovir","p.o."
"J05AF08","Adefovir","p.o."
"J05AF10","Entekavir","p.o."
"J05AF11","Telbivudín","p.o."
"J05AG01","Nevirapin","p.o."
"J05AG03","Efavirenz","p.o."
"J05AG04","Etravirin","p.o."
"L01AA01","Cyklofosfamid","p.o."
"L01AA02","Chlorambucil","p.o."
"L01AA03","Melfalan","p.o."
"L01XX05","Hydroxyurea","p.o."
"L01XX11","Estramustin","p.o."
"L01XX14","Tretinoín","p.o."
"L01XX17","Topotekan","p.o."
"L01XX23","Mitotan","p.o."
"L01XX25","Bexaroten","p.o."
"L02AB01","Megestrol","p.o."
"L02BA01","Tamoxifén","p.o."
"L02BA02","Toremifén","p.o."
"L02BB01","Flutamid","p.o."
"L02BB03","Bikalutamid","p.o."
"L02BG03","Anastrozol","p.o."
"L02BG04","Letrozol","p.o."
"L02BG06","Exemestan","p.o."
"L04AA13","Leflunomid","p.o."
"L04AX03","Metotrexát","p.o."
"M01AB05","Diklofenak","p.o."
"M01AB16","Aceklofenak","p.o."
"M01AC01","Piroxikam","p.o."
"M01AC05","Lornoxikam","p.o."
"M01AC06","Meloxikam","p.o."
"M01AE01","Ibuprofén","p.o."
"M01AE02","Naproxén","p.o."
"M01AE03","Ketoprofén","p.o."
"M01AE09","Flurbiprofén","p.o."
"M01AE11","Kyselina tiaprofénová","p.o."
"M01AH01","Celekoxib","p.o."
"M01AH05","Etorikoxib","p.o."
"M01AX05","Glukozamín","p.o."
"M01AX17","Nimesulid","p.o."
"M01AX21","Diacereín","p.o."
"M01AX25","Chondroitínsulfát","p.o."
"M01CC01","Penicilamín","p.o."
"M03BX01","Baklofén","p.o."
"M03BX02","Tizanidín","p.o."
"M03BX04","Tolperizón","p.o."
"M03BX07","Tetrazepam","p.o."
"M04AA01","Allopurinol","p.o."
"M04AC01","Kolchicín","p.o."
"M05BA02","Kyselina klodrónová","p.o."
"M05BA04","Kyselina alendrónová","p.o."
"M05BA06","Kyselina ibandrónová","p.o."
"M05BA07","Kyselina risedrónová","p.o."
"M05BX03","Stroncium ranelát","p.o."
"N02AX02","Tramadol","p.o."
"N02BA01","Kyselina acetylsalicylová","p.o."
"N02BB02","Metamizol, sodná soľ","p.o."
"N02BE01","Paracetamol","p.o."
"N02BG07","Maleinát flupirtínu","p.o."
"N02CC01","Sumatriptan","p.o."
"N02CC03","Zolmitriptan","p.o."
"N02CC04","Rizatriptan","p.o."
"N02CC06","Eletriptan","p.o."
"N02CC07","Frovatriptan","p.o."
"N02CX01","Pizotifén","p.o."
"N05AA01","Chlórpromazín","p.o."
"N05AA02","Levomepromazín","p.o."
"N05AD01","Haloperidol","p.o."
"N05AE03","Sertindol","p.o."
"N05AE04","Ziprasidón","p.o."
"N05AF03","Chlórprotixén","p.o."
"N05AF05","Zuklopentixol","p.o."
"N05AH02","Klozapín","p.o."
"N05AH03","Olanzapín","p.o."
"N05AH04","Kvetiapín","p.o."
"N05AL01","Sulpirid","p.o."
"N05AL03","Tiaprid","p.o."
"N05AL05","Amisulprid","p.o."
"N05AN01","Lítium","p.o."
"N05AX08","Risperidón","p.o."
"N05AX11","Zotepín","p.o"
"N05AX12","Aripiprazol","p.o."
"N05AX13","Paliperidón","p.o."
"N05BA01","Diazepam","p.o."
"N05BA04","Oxazepam","p.o."
"N05BA08","Bromazepam","p.o."
"N05BA09","Klobazam","p.o."
"N05BA12","Alprazolam","p.o."
"N05BB01","Hydroxyzín","p.o."
"N05BE01","Buspiron","p.o."
"N05BX01","Mefenoxalón","p.o."
"N05CD13","Cinolazepam","p.o."
"N05CF01","Zopiklón","p.o."
"N05CH01","Melatonín","p.o."
"N06AA02","Imipramín","p.o."
"N06AA04","Klomipramín","p.o."
"N06AA08","Dibenzepín","p.o."
"N06AA09","Amitriptylín","p.o."
"N06AA16","Dosulepín","p.o."
"N06AA21","Maprotilín","p.o."
"N06AB03","Fluoxetín","p.o."
"N06AB04","Citalopram","p.o."
"N06AB05","Paroxetin","p.o."
"N06AB06","Sertralin","p.o."
"N06AB10","Escitalopram","p.o."
"N06AG02","Moklobemid","p.o."
"N06AX03","Mianserin","p.o."
"N06AX05","Trazodon","p.o."
"N06AX11","Mirtazapín","p.o."
"N06AX12","Bupropión","p.o."
"N06AX14","Tianeptín","p.o."
"N06AX16","Venlafaxín","p.o."
"N06AX17","Milnacipran","p.o."
"N06AX21","Duloxetín","p.o."
"N06AX22","Agomelatín","p.o."
"N06BA07","Modafinil","p.o."
"N06BA09","Atomoxetín","p.o."
"N06BX03","Piracetam","p.o."
"N06BX18","Vinpocetín","p.o."
"N06DA02","Donepezil","p.o."
"N06DA03","Rivastigmín","p.o."
"N06DA04","Galantamín","p.o."
"N06DX01","Memantín","p.o."
"N06DX02","Ginkgo biloba","p.o."
"N07AA01","Neostigmín","p.o."
"N07AA02","Pyridostigmín","p.o."
"N07AA03","Distigmín","p.o."
"N07BB03","Akamprosat","p.o."
"N07CA01","Betahistín","p.o."
"N07CA02","Cinarizín","p.o."
"P01AB01","Metronidazol","p.o."
"P01AB03","Ornidazol","p.o."
"P01BA01","Chlorochin","p.o."
"P01BA02","Hydroxychlorochin","p.o."
"P01BC02","Meflochin","p.o."
"P02CA01","Mebendazol","p.o."
"P02CA03","Albendazol","p.o."
"R03BC01","Nátrium chromoglykolát","p.o."
"R03CC02","Salbutamol","p.o."
"R03CC08","Prokaterol","p.o."
"R03CC13","Klenbuterol","p.o."
"R03DA04","Teofylín","p.o."
"R03DC01","Zafirlukast","p.o."
"R03DC03","Montelukast","p.o."
"R03DX07","Roflumilast","p.o."
"R05CB01","Acetylcysteín","p.o."
"R05CB15","Erdosteín","p.o."
"R06AA02","Difenhydramín","p.o."
"R06AA04","Klemastin","p.o."
"R06AB03","Dimetindén","p.o."
"R06AD02","Prometazín","p.o."
"R06AD03","Tietilperazín","p.o."
"R06AE07","Cetirizín","p.o."
"R06AE09","Levocetirizín","p.o."
"R06AX02","Cyproheptadin","p.o."
"R06AX13","Loratadin","p.o."
"R06AX17","Ketotifén","p.o."
"R06AX26","Fexofenadín","p.o."
"R06AX27","Desloratadín","p.o."
"R06AX28","Rupatadín","p.o."
"V03AF03","Kalcium folinát","p.o."
